account_id,bank_name,is_mule,entity_id,created_timestamp
ACC_000001,PNB,True,ENT_00001,2026-02-19T22:37:15.622783
ACC_000002,Paytm PB,True,ENT_00002,2025-09-17T22:37:15.622872
ACC_000003,SBI,True,ENT_00002,2026-07-24T22:37:15.622883
ACC_000004,SBI,True,ENT_00002,2026-01-01T22:37:15.622889
ACC_000005,Axis,True,ENT_00002,2025-11-18T22:37:15.622895
ACC_000006,Paytm PB,True,ENT_00002,2025-10-05T22:37:15.622901
ACC_000007,ICICI,True,ENT_00003,2026-02-04T22:37:15.622911
ACC_000008,Axis,True,ENT_00004,2026-01-16T22:37:15.622921
ACC_000009,Kotak,True,ENT_00005,2025-10-11T22:37:15.622930
ACC_000010,PNB,True,ENT_00006,2025-09-24T22:37:15.622940
ACC_000011,Kotak,True,ENT_00006,2026-02-23T22:37:15.622945
ACC_000012,HDFC,True,ENT_00006,2026-02-26T22:37:15.622950
ACC_000013,HDFC,True,ENT_00006,2025-11-01T22:37:15.622955
ACC_000014,Kotak,True,ENT_00006,2026-01-28T22:37:15.622959
ACC_000015,ICICI,True,ENT_00007,2025-10-09T22:37:15.622967
ACC_000016,ICICI,True,ENT_00008,2026-07-03T22:37:15.622976
ACC_000017,ICICI,True,ENT_00009,2026-03-08T22:37:15.622985
ACC_000018,Kotak,True,ENT_00009,2026-01-25T22:37:15.622991
ACC_000019,Paytm PB,True,ENT_00010,2026-07-01T22:37:15.622999
ACC_000020,ICICI,True,ENT_00010,2025-10-31T22:37:15.623004
ACC_000021,Axis,True,ENT_00010,2025-09-18T22:37:15.623009
ACC_000022,PNB,True,ENT_00011,2026-06-09T22:37:15.623017
ACC_000023,Kotak,True,ENT_00012,2026-01-09T22:37:15.623030
ACC_000024,HDFC,True,ENT_00013,2026-02-09T22:37:15.623040
ACC_000025,ICICI,True,ENT_00013,2026-05-13T22:37:15.623045
ACC_000026,SBI,True,ENT_00013,2026-02-20T22:37:15.623050
ACC_000027,SBI,True,ENT_00014,2026-04-20T22:37:15.623058
ACC_000028,SBI,True,ENT_00014,2026-05-26T22:37:15.623063
ACC_000029,HDFC,True,ENT_00014,2026-03-15T22:37:15.623068
ACC_000030,Paytm PB,True,ENT_00015,2025-11-10T22:37:15.623076
ACC_000031,Kotak,True,ENT_00016,2026-02-22T22:37:15.623084
ACC_000032,Paytm PB,True,ENT_00017,2026-02-02T22:37:15.623093
ACC_000033,SBI,True,ENT_00017,2026-05-22T22:37:15.623098
ACC_000034,SBI,True,ENT_00017,2025-09-28T22:37:15.623103
ACC_000035,PNB,True,ENT_00017,2026-05-21T22:37:15.623108
ACC_000036,HDFC,True,ENT_00018,2026-01-15T22:37:15.623116
ACC_000037,Kotak,True,ENT_00019,2026-04-14T22:37:15.623124
ACC_000038,Paytm PB,True,ENT_00020,2026-03-21T22:37:15.623132
ACC_000039,SBI,True,ENT_00021,2025-11-13T22:37:15.623144
ACC_000040,ICICI,True,ENT_00022,2025-12-16T22:37:15.623152
ACC_000041,PNB,True,ENT_00022,2026-05-06T22:37:15.623158
ACC_000042,Kotak,True,ENT_00023,2025-10-25T22:37:15.623170
ACC_000043,Axis,True,ENT_00024,2026-03-22T22:37:15.623179
ACC_000044,Paytm PB,True,ENT_00025,2025-11-16T22:37:15.623188
ACC_000045,SBI,True,ENT_00026,2026-05-03T22:37:15.623196
ACC_000046,PNB,True,ENT_00026,2025-10-08T22:37:15.623201
ACC_000047,SBI,True,ENT_00026,2026-04-07T22:37:15.623206
ACC_000048,HDFC,True,ENT_00026,2025-09-19T22:37:15.623210
ACC_000049,Axis,True,ENT_00026,2026-02-04T22:37:15.623215
ACC_000050,Kotak,True,ENT_00027,2025-11-22T22:37:15.623223
ACC_000051,ICICI,True,ENT_00028,2026-07-02T22:37:15.623231
ACC_000052,ICICI,True,ENT_00029,2025-12-26T22:37:15.623239
ACC_000053,PNB,True,ENT_00030,2026-01-02T22:37:15.623247
ACC_000054,HDFC,True,ENT_00030,2026-04-22T22:37:15.623253
ACC_000055,PNB,True,ENT_00030,2025-12-26T22:37:15.623258
ACC_000056,ICICI,True,ENT_00030,2026-07-31T22:37:15.623263
ACC_000057,Axis,True,ENT_00030,2026-07-17T22:37:15.623267
ACC_000058,Paytm PB,True,ENT_00031,2026-02-03T22:37:15.623275
ACC_000059,Axis,True,ENT_00032,2026-07-03T22:37:15.623287
ACC_000060,ICICI,True,ENT_00032,2026-04-21T22:37:15.623292
ACC_000061,HDFC,True,ENT_00032,2026-03-03T22:37:15.623296
ACC_000062,HDFC,True,ENT_00032,2025-09-15T22:37:15.623301
ACC_000063,ICICI,True,ENT_00032,2026-05-31T22:37:15.623306
ACC_000064,HDFC,True,ENT_00033,2026-03-20T22:37:15.623322
ACC_000065,Kotak,True,ENT_00034,2026-06-03T22:37:15.623332
ACC_000066,Axis,True,ENT_00035,2025-10-02T22:37:15.623346
ACC_000067,HDFC,True,ENT_00036,2026-08-04T22:37:15.623354
ACC_000068,ICICI,True,ENT_00036,2026-04-25T22:37:15.623360
